自增ID,事件ID,追踪ID,发生时间,操作人ID,操作动作,资源类型,资源ID,摘要,outcome,错误码
1536,1c9aff69-e95a-4017-ad03-781268ffa417,p5-act10-audit-20260613-234800-admin-approve-export-1781365550233,2026-06-13T15:45:50.273893Z,organization-admin,REVIEW,mk_compliance_export_approval,exp-audit-event-p5-act10-60613-234800,审批敏感数据导出申请：audit_event/exp-audit-event-p5-act10-60613-234800；原因：组织管理员批准 P5幕10 审计导出 p5-act10-audit-20260613-234800,SUCCESS,
1535,10e42ec1-839e-4481-bd6e-1198fd3aa70e,p5-act10-audit-20260613-234800-request-export-approval-1781365542531,2026-06-13T15:45:42.563123Z,compliance-auditor,CREATE,mk_compliance_export_approval,exp-audit-event-p5-act10-60613-234800,创建敏感数据导出申请：audit_event/exp-audit-event-p5-act10-60613-234800；原因：P5幕10审计事件导出申请 p5-act10-audit-20260613-234800,SUCCESS,
1534,43a94759-5d55-420d-a2d7-69bc1d052787,p5-act10-audit-20260613-234800-audit-snapshot-1781365542462,2026-06-13T15:45:42.493361Z,compliance-auditor,EXPORT,audit,snapshot-1781365542493,导出审计快照（reason=P5幕10审计导出审批快照 p5-act10-audit-20260613-234800）,SUCCESS,
1531,63329dca-25e2-405b-853e-81e4eedf4030,p5-act10-audit-20260614-000500-export-evidence-package-1781365502017,2026-06-13T15:45:02.045632Z,organization-admin,EXPORT,evidence_snapshot,bulk-export-COMPLIANCE_EXPORT,证据合规数据包导出完成，含 2 条快照，归档国密摘要=sm3:ad712c463d8bf902f81296e8279ac4d41d57681965d546e2829e33a96f402a25，URI=/api/v1/compliance/evidence/snapshots/export/ad712c463d8bf902f81296e8279ac4d41d57681965d546e2829e33a96f402a25/download,SUCCESS,
1530,be30fd0a-e7a2-46c4-8376-b479d1973838,p5-act10-audit-20260614-000500-verify-export-1781365501922,2026-06-13T15:45:01.955146Z,organization-admin,REVIEW,evidence_snapshot,evd-exp-audit-event-p5-act10-60614-000500-export,国密签名与数字指纹验签成功，数据完好无损,SUCCESS,
1529,80b40872-5e9f-46a0-b7e5-f7735c3d2ba0,p5-act10-audit-20260614-000500-verify-approval-1781365501633,2026-06-13T15:45:01.666786Z,organization-admin,REVIEW,evidence_snapshot,evd-exp-audit-event-p5-act10-60614-000500-approval,国密签名与数字指纹验签成功，数据完好无损,SUCCESS,
1528,25ba802e-1b56-474b-b376-2009c62e2966,p5-act10-audit-20260614-000500-download-approved-csv-1781365499254,2026-06-13T15:44:59.284247Z,organization-admin,EXPORT,large_list_export,3a774121-ec85-4462-ab9c-fd3151ccfede,用户成功下载异步导出文件: export-3a774121-ec85-4462-ab9c-fd3151ccfede.csv,SUCCESS,
1527,b9438bab-9e63-4411-b740-e3e6917ca707,p5-act10-audit-20260614-000500-complete-export-approval-1781365499220,2026-06-13T15:44:59.257471Z,organization-admin,EXPORT,mk_compliance_export_approval,exp-audit-event-p5-act10-60614-000500,登记敏感数据真实导出完成：audit_event/exp-audit-event-p5-act10-60614-000500；原因：登记 P5幕10 审计导出真实文件 p5-act10-audit-20260614-000500,SUCCESS,
1526,8a25d107-3ef0-48cb-a329-7face626ae8f,p5-act10-audit-20260614-000500-submit-large-list-export-1781365499151,2026-06-13T15:44:59.213175Z,organization-admin,EXPORT,large_list_export,3a774121-ec85-4462-ab9c-fd3151ccfede,异步导出大规模列表数据至 CSV 成功，共 261 条记录，耗时 13ms,SUCCESS,
1525,881f3a88-0e8a-4eb0-8c8b-43989d55ffc5,p5-act10-audit-20260614-000500-admin-approve-export-1781365496801,2026-06-13T15:44:56.849235Z,organization-admin,REVIEW,mk_compliance_export_approval,exp-audit-event-p5-act10-60614-000500,审批敏感数据导出申请：audit_event/exp-audit-event-p5-act10-60614-000500；原因：组织管理员批准 P5幕10 审计导出 p5-act10-audit-20260614-000500,SUCCESS,
